Username,Created_at,Location
SimiyuBuluma,2023-06-03 20:44:55+00:00,
SamsonInfl82313,2023-06-03 20:44:06+00:00,
pacmannai,2023-06-03 20:39:43+00:00,Jakarta
BukkyOlanase,2023-06-03 20:33:06+00:00,Lagos
MachineLucre,2023-06-03 20:31:36+00:00,
bigteoken,2023-06-03 20:30:30+00:00,
Eli_Krumova,2023-06-03 20:30:10+00:00,UK
JDasoba82635,2023-06-03 20:29:30+00:00,
iamkhayxee,2023-06-03 20:27:50+00:00,
KabsLil,2023-06-03 20:25:19+00:00,"Accra, Ghana"
kage_dattebasa,2023-06-03 20:24:23+00:00,
PMOAJ,2023-06-03 20:21:06+00:00,India
0xCadmus,2023-06-03 20:20:31+00:00,
_esraasultan,2023-06-03 20:17:40+00:00,
Star_dan1,2023-06-03 20:15:14+00:00,In the galaxy
veryrarekind,2023-06-03 20:15:14+00:00,
mayuismayuis,2023-06-03 20:14:26+00:00,"Raleigh, NC"
ONielCares,2023-06-03 20:13:28+00:00,"Lagos,Nigeria"
darkcloudcover7,2023-06-03 20:12:50+00:00,
TeddyBearIsABot,2023-06-03 20:12:01+00:00,Python  🤖
_go47,2023-06-03 20:11:47+00:00,
kristabaker,2023-06-03 20:11:39+00:00,"White Plains, NY"
Danibholie,2023-06-03 20:10:55+00:00,
OriginalJJ4,2023-06-03 20:09:55+00:00,Ghana 
BlissDecency,2023-06-03 20:09:54+00:00,Nigeria
Halimagali,2023-06-03 20:08:56+00:00,"Accra, Ghana"
Bankz_DataPlug,2023-06-03 20:07:46+00:00,Nigeria
RogueJezzy,2023-06-03 20:04:19+00:00,"Lagos, Nigeria"
dammyprolific,2023-06-03 20:03:01+00:00,
mshook,2023-06-03 20:02:22+00:00,"Mount Desert Island, USA"
OtonyeMacdonald,2023-06-03 20:00:51+00:00,
Koladewale1,2023-06-03 19:59:07+00:00,"Ilorin,kwara state"
OlopadeRut86221,2023-06-03 19:56:33+00:00,
EddieEdward06,2023-06-03 19:56:18+00:00,Lagos
OlanikeShittu1,2023-06-03 19:55:48+00:00,In Christ
Biah_designs,2023-06-03 19:54:55+00:00,"Ogun, Nigeria"
Eniolaayobami13,2023-06-03 19:54:25+00:00,
lolay_pop,2023-06-03 19:54:08+00:00,Nigeria
CerulianKale,2023-06-03 19:54:06+00:00,
a_mode10,2023-06-03 19:53:51+00:00,"Federal Capital Territory, Nig"
sadeeqsyllar,2023-06-03 19:53:37+00:00,Earth.
BasseyB02673672,2023-06-03 19:52:31+00:00,
Badt_Guy_Murc,2023-06-03 19:51:30+00:00,Earth🌍
Abd_Luk,2023-06-03 19:51:16+00:00,Nigeria
__ozovehe,2023-06-03 19:50:20+00:00,"FCT, Nigeria"
Anyah_34,2023-06-03 19:50:13+00:00,
lady__jossy,2023-06-03 19:50:11+00:00,
LTFSZN,2023-06-03 19:50:10+00:00,
StephenBlucktor,2023-06-03 19:49:54+00:00,lagos
FrancisKrane,2023-06-03 19:49:30+00:00,anywhere
DevTobs,2023-06-03 19:49:12+00:00,"Richmond, VA"
son_wolfen,2023-06-03 19:46:57+00:00,
YorubaPanther,2023-06-03 19:46:30+00:00,
DValidboy,2023-06-03 19:46:09+00:00,🌎🌍
Veekee_John,2023-06-03 19:44:56+00:00,"Lagos, Nigeria"
cheenonso2,2023-06-03 19:43:02+00:00,Nigeria
shenzy_arts,2023-06-03 19:42:56+00:00,
CEO_WiTech,2023-06-03 19:39:43+00:00,"Jikamshi, Nigeria"
Oreofecubby,2023-06-03 19:38:02+00:00,My zone
haryormiiii,2023-06-03 19:37:27+00:00,"Lagos, Nigeria"
lostin_AI,2023-06-03 19:36:06+00:00,Afrika Mashariki
DEELOFFER,2023-06-03 19:35:30+00:00,"Atlanta, GA"
kcchezkolectnz,2023-06-03 19:35:22+00:00,"Lagos, Nigeria"
milappert,2023-06-03 19:34:55+00:00,Check out
denseneurons,2023-06-03 19:34:30+00:00,"🇰🇪, Afrika Mashariki."
Prof_Stambul,2023-06-03 19:33:29+00:00,"Dar es Salaam, Tanzania"
tech_fanaticA,2023-06-03 19:32:25+00:00,
KGodsproof,2023-06-03 19:31:10+00:00,"Uyo, Nigeria"
oluwavycoxy,2023-06-03 19:31:04+00:00,
Evar4Evar,2023-06-03 19:30:57+00:00,
DalumoOyin,2023-06-03 19:29:35+00:00,"Kwara, Nigeria"
alexishida,2023-06-03 19:29:31+00:00,"Porto Velho, Brasil"
Ribasatto,2023-06-03 19:27:12+00:00,"Nairobi, Kenya"
ErewaVictor,2023-06-03 19:26:40+00:00,
I_amTeslim,2023-06-03 19:25:43+00:00,"Lagos, Nigeria"
jposor,2023-06-03 19:25:40+00:00,
jposor,2023-06-03 19:25:37+00:00,
temi_high,2023-06-03 19:24:58+00:00,"Lagos, Nigeria"
k33g_org,2023-06-03 19:24:58+00:00,He/Him 🌍 
dhakeeyah,2023-06-03 19:24:44+00:00,"Sokoto, Nigeria"
bolmarnest,2023-06-03 19:23:12+00:00,Lagos
pr_alphaa,2023-06-03 19:23:05+00:00,Idk 
VephlaUni,2023-06-03 19:22:54+00:00,"Richmond, VA"
Aleeyu_jnr,2023-06-03 19:22:18+00:00,Nigeria
adex0057,2023-06-03 19:21:52+00:00,Tech World
azhar_qazi31,2023-06-03 19:21:11+00:00,"Pune, India"
kareemidris80,2023-06-03 19:20:49+00:00,Earth
Rophus_,2023-06-03 19:20:00+00:00,Diani Beach 🏖️
olutimiAiko,2023-06-03 19:19:59+00:00,
da115115,2023-06-03 19:19:07+00:00,Europe
Matemimatthew,2023-06-03 19:18:09+00:00,Nigeria
kelvin_de_don,2023-06-03 19:18:02+00:00,Nigeria
LazoliaB,2023-06-03 19:14:16+00:00,South Africa
gersariel1,2023-06-03 19:14:10+00:00,World WIde
iEuno,2023-06-03 19:11:14+00:00,North America + Europe + Asia
Hiam_heritage,2023-06-03 19:08:59+00:00,Nigeria
BolaSHOLA7,2023-06-03 19:08:55+00:00,Nigeria
SSKORBLA,2023-06-03 19:08:15+00:00,north kaneshie 
cantabro,2023-06-03 19:05:55+00:00,CDMX-California
cantabro,2023-06-03 19:05:51+00:00,CDMX-California
